Prof_Course, The instructor clearly defined and explained the course objectives and expectations, The instructor was prepared for each instructional activity, The instructor communicated information effectively, The instructor encouraged me to take an active role in my own learning, The instructor was available to students either electronically or in person
Montgomery-Ronald-MUSIC PRIVATE LESSONS,5,5,5,5,5
Moon-Hyejin-MAE-3314-001-HEAT TRANSFER,4.7368,4.6842,4.6842,4.4737,4.7368
Moon-Hyejin-MAE-4301-002 & ME-5390-001-SPEC TOPICS MECH & AERO ENGR,4.6,4.65,4.6,4.6,4.65
Moore-Billy-BSTAT-5315-040-HCAD STATISTICAL METHODS,4.1429,4.7143,4,4.7143,4.8571
Moore-Daniel-MAVS-1000-014-First Year Experience,4.125,4.125,4,3.75,4.625
Moore-Joshua-GEOL-2445-011-MINERALOGY,3.2,3.2,2.8,3.2,3.6
Moore-Joshua-GEOL-2445-012-MINERALOGY,3.5,4.25,3.125,4.375,4.75
Moore-Sara-NURS-5632-002-ADV CLINICAL NURSING PRAC CERT,5,5,5,5,5
Moore-Terrance-CSE-1310-008-INTRO COMPUTERS & PROGRAMMING,4.125,4.125,4.25,4.375,4.25
Morales-Camargo-Emmanuel-FINA-2330-001-MONEY AND MODERN CONSUMER,4.1667,4.1667,4.0833,3.9167,4.1818
Morales-Camargo-Emmanuel-FINA-5331-001-INTERNATIONAL FINANCE & FINA-6390-002-SEMINAR SPEC TOPICS IN FINANCE,2.2,1.8,2.8,4.6,3.2
Morgan-Jason-MAVS-1000-035-First Year Experience,4.75,4.75,4.75,4.5,4.5
Morgan-Jeremy-MARK-4311-002-MARKETING RESEARCH,3.5333,3.3667,3.2333,3.5,3.9
Morgan-Lael-JOUR-1345-003-WRITING FOR MASS MEDIA,4,4.5,4,4.5,4
Morgan-Stephen-CSE-5306-002-Distributed Systems,3.6522,3.6522,3.6522,3.913,4.1304
Morgan-Stephen-CSE-5324-002-SFWR ENG I ANLY DSGN TESTING,3.4444,3.4815,3.2692,3.5556,3.6667
Morphis-Catherine-ENGL-1301-077-RHETORIC AND COMPOSITION I,4,3,4,4,4
Morris-Christopher-ESST-2300-001-INTRO ENV. & SUSTAINABILITY and HIST-4388-007-SEL TOP HIST,4.5556,4.3333,4.6667,4.8889,4.7778
Morris-Christopher-HIST-3326-001-OLD SOUTH,4.2667,4.2,4,4.3333,4.2667
Morris-Christopher-HIST-5339-001-HIST THEORY & METHODOLOGY,4.6667,4.3333,4,4.6667,4.3333
Morris-Michael-POLS 2311.700 & POLS 2311.901 GOVERNMENT OF THE UNITED STATES,4.4915,4.4237,4.4397,4.4444,4.4522
Morris-Michael-POLS-2311-012-GOVT OF U S,4.3509,4.3684,4.2982,4.2456,4.1636
Morris-Michael-POLS-2311-701-POLS-2311-900-POLS-2311-902-GOVT OF U S,4.5635,4.4921,4.488,4.432,4.4597
Morris-Michael-POLS-2312-007-STATE & LOCAL GOVT,4.5625,4.6349,4.5313,4.3438,4.4516
Morris-Timothy-ENGL-1301-054-RHETORIC AND COMPOSITION I,4.3333,4.1667,4.1667,4.3333,4.3333
Morris-Timothy-ENGL-2384-003-STRUCTURE MODERN ENGLISH,4,4.7778,4,4.7778,4.5556
Morris-Timothy-ENGL-2384-004-STRUCTURE MODERN ENGLISH,4.625,4.875,4.25,4.75,4.625
Morrison-Michael-MUSI-1101-001-JAZZ LISTENING,4.1111,4.1111,4.1111,4.6667,4.2222
Morrison-Michael-MUSI-2102-001-WOODWIND SURVEY,4.7273,4.3636,4.1818,4.3636,4.2727
Morrison-Michael-MUSIC PRIVATE LESSONS,5,4.7143,4.8571,4.8571,4.5714
Moseley-Matthew-BIOL-1441-047-CELL MOL BIOL,4.2857,4.4286,4,4.4286,4.2857
Moseley-Matthew-BIOL-2457-004-HUMAN ANATOMY & PHYSIOLOGY I,3.5,3.8333,3.6667,4.5,3.8333
Moseley-Matthew-BIOL-2457-009-HUMAN ANATOMY & PHYSIOLOGY I,4.5,4.5,4.5,4.625,4.25
Mosley-Eckler-Christie-SOCW-3302-001-HUM BEHAV II,4,4.2222,3.8889,4.3333,4
Mosley-Eckler-Christie-SOCW-5301-002-HUMAN BEHAV & SOCIAL ENV I,4.2308,4.0769,3.9231,4.3077,4.6154
Mosley-Eckler-Christie-SOCW-6371-002-COMMUNITY & ADMIN PRACTICE,3.4,3.7,3.2,4.25,3.8
Moss-Kamiah-KINE-1400-005-INTRO TO EXERCISE SCIENCE,5,5,5,5,5
Moss-Kamiah-KINE-3315-001-PHYSIOLOGY OF EXERCISE,3.3571,3.5714,3.2857,3.4286,3.6429
Moss-Kamiah-KINE-3315-002-PHYSIOLOGY OF EXERCISE,3.5625,3.4706,3.2353,3.25,3.4706
Moten-Shafaq-PHYS-1301-001-PHYSICS FOR NON SPECIALISTS I,3.85,3.7,3.65,4,4.4
Mulholland-Brian-MUSI-4225-001-ADVANCED JAZZ IMPROVISATION,5,5,5,5,4.4
Mulholland-Brian-MUSIC PRIVATE LESSONS,5,5,5,5,5
Muller-Christopher-MAVS-1000-055-First Year Experience,4.1667,4.3333,4.0833,4,4.3333
Mullins-Baxter-MAE-3405-001-FLIGHT DYNAMICS,4.1333,4.6,4.3333,4.4667,4.2667
Mullins-Baxter-MAE-4310-002-INTRO TO AUTOMATIC CONTROL,3.6429,3.7143,3.5714,4.2143,3.7857
Mullins-Baxter-ME-5313-004-FLUID DYNAMICS,3,4.3333,3.6667,3.6667,4.6667
Munoz-Ricardo-ARCH-4357-001-ARCH-5357-001-B. I. M. & Visualization-BLDG INFO MODELING & VISUAL,4.3333,4.1667,4.3333,4.3333,4.3333
Murray-Kathleen-SOCW-5304-005-GENERALIST MICRO PRACTICE,4.5,4,4,4.5,4.8333
Musielak-Dora-ME-5331-003-ANALYTIC METHODS ENGINEERING,4.0357,4.3571,4.0714,4.1786,4.4643
Musielak-Zdzislaw-PHYS-5311-001-MATH METHODS I,4.2222,4.25,4.1111,4,4.2222
Mwania-Munuve-CHEM-3181-001-PHYSICAL CHEMISTRY I LAB,5,5,5,5,4
Mydlarz-Laura-BIOL-3301-002-CELL PHYSIOLOGY,4.325,4.25,4.075,4.15,4.35
Mydlarz-Laura-BIOL-4388-003-INSTR TECHNIQUES IN BIOLOGY,5,5,5,5,5
Myers-Helen-FS-NURS-1300-001-INTRO TO PROFESSIONAL NURSING,4.6111,4.6667,4.5,4.5,4.4444
Myers-Helen-FS-NURS-1300-002-INTRO TO PROFESSIONAL NURSING,4.1538,4.0769,4.0769,4.2308,4.5385
Myers-Helen-FS-NURS-1300-005-INTRO TO PROFESSIONAL NURSING,4.7692,4.6154,4.6154,4.6923,4.6154
Myers-Helen-FS-NURS-1300-023-INTRO TO PROFESSIONAL NURSING,4.3846,4.5385,4.3846,4.5833,4.4615
Myers-Joyce-ELED-4314-001-SOCIAL STUDIES EARLY ELEM ED,4.8182,4.8636,4.8182,4.9091,4.8182
Myers-Joyce-ELED-4314-004-SOCIAL STUDIES EARLY ELEM ED,4.875,4.8125,4.6875,4.875,4.75
Myers-Joyce-ELED-4317-002-GROWTH DEVEL & LRNG THEORY,4.6842,4.6842,4.6842,4.4211,4.6316
Myers-Kenneth-CRCJ-4315-001-CRIM CAREERS,3.7273,3.8182,3.4545,4.1818,4
Myers-Kenneth-CRCJ-4315-103-CRIM CAREERS,3.75,3.5,3.75,4,4
Nadler-Betsy-KINE-4130-001-ATHLETIC TRAINING CLINICAL PRACTICUM IV,5,5,5,5,5
Nadler-Betsy-KINE-4336-001 & KINE-5433-001-THERAPEUTIC INTERVENTION,4.4545,4.4545,4.2727,4.8182,4.6364
Nadler-Betsy-KINE-5433-002-Therapeutic Interventions I,4.4545,4.5455,4.4545,4.8182,4.6364
Nagoshi-Craig-PSYC-1315-005-INTRO TO PSYCHOLOGY,4.38,4.2,4.1,4.14,4.3
Nagoshi-Craig-SOCW-3301-002-HUMAN BEHAVIOR & SOCIAL ENVIRO,4.25,4.3125,4.25,4,4.1333
Nagoshi-Julieann-SOCW-3302-004-HUM BEHAV II,4.8182,4.8182,4.8182,4.9091,4.9091
Nagoshi-Julieann-SOCW-5317-001-HUMAN BEHAVIOR & DIVERSE POPS,4.5455,4.4545,4.6364,4.5455,4.6364
Nair-Ashwin-BE-1104-002-INTRODUCTION TO ENGINEERING,4.3333,4.5,3.8333,3.8333,3.5
Nair-Ashwin-BE-3320-010-MEASUREMENT LABORATORY,4.1818,4.6364,4.2727,4.5455,4.9091
Nair-Ashwin-BE-4325-010-FUNDAMENTALS OF BIOENGINEERING,3.2,4.4,3.2,4.2,5
Nair-Ashwin-BE-4382-010 & BE-5382-010-LABORATORY PRINCIPLES,4.2632,4.3158,4.2105,4.4211,4.6316
Najafi-Mohammad-CE-5300-001/002/003-TOPICS IN CIVIL ENGINEERING,3.9643,4.0714,4.0714,4.1071,4.1786
Napier-Randall-OPMA-3306-002-OPERATIONS MANAGEMENT,4.1778,4.2667,3.9556,4.0889,4.3864
Napier-Randall-OPMA-3306-004-OPERATIONS MANAGEMENT,4.525,4.7,4.125,4.275,4.575
Napier-Randall-OPMA-3306-006-OPERATIONS MANAGEMENT,4.1892,4.4054,4.2162,4.027,4.25
Napier-Randall-OPMA-5361-001-OPERATIONS MANAGEMENT,4.5333,4.8,4.3,4.5333,4.7241
Narayanasamy-Arun-FINA-3315-001-INVESTMENTS,4.2917,4.2917,3.7917,4.0833,4.125
Narayanasamy-Arun-FINA-3315-003-INVESTMENTS,4.2857,4.5,4.3571,4.5,4.2857
Narayanasamy-Arun-FINA-4319-001-FINANCIAL DERIVATIVES,4.4167,4.75,3.9167,4.6667,4.5833
Narayanasamy-Arun-FINA-5323-001-INVESTMENTS & FINA-6390-004-SEMINAR SPEC TOPICS IN FINANCE,4.2857,4.1429,4.2857,4.1429,4.8333
Narrett-David-HIST-3321-002-COL AM TO 1763,4.3333,4.5556,4.3333,4,4.7778
Narrett-David-HIST-5333-001-REG/TOP EURO/LTN AM/AFRI HIST,4.3333,5,4,5,5
Nason-Joshua-ARCH-4395-002 & ARCH-5395-002-TOPICS IN ARCHITECTURE,4.1667,3.6667,4,4.3333,4.1667
Nason-Joshua-ARCH-4556-002-DESIGN STUDIO: ARCH III & ARCH-4595-001-SELECTED TOPICS ARCHITECTURE,4.125,4.25,3.8571,4.75,4.625
Nead-Susan-COMS-2302-011-PROFESSIONAL TECHNICAL COMM,4.7,4.5,4.6,4.4,4.7
Nead-Susan-COMS-2302-015-PROFESSIONAL TECHNICAL COMM,4.1111,4.1111,4.2222,4,4
Nead-Susan-COMS-2304-001-GROUP COMM PRINCIPLES,4.1429,4.2857,4,4.4286,4.1429
Nead-Susan-COMS-2304-002-GROUP COMM PRINCIPLES,4.8333,5,4.8,4.8333,4.6
Nealy-Beatrice-SOCW-5310-012-MICRO-MACRO PRACT FIELD SEM,3.2,3,2.2222,3.1,2.5
Nealy-Beatrice-SOCW-5551-100-APPLIED SOCIAL WORK PRACTICE I,3.1667,3.0833,2.6667,3.1667,2.5833
Nealy-Beatrice-SOCW-6371-003-COMMUNITY & ADMIN PRACTICE,3.375,3,3,3.875,4.125
Neely-Elizabeth-ENGL-2309-015-WORLD LIT,4.7143,4.7143,4.8571,4.8571,5
Neely-Elizabeth-ENGL-2309-016-WORLD LIT,4.5,4.5,4.5,4.5,4.5
Nelson-Edward-ARCH-3331-001 & ARCH-5361-001-ARCHITECTURE & ENVIRONMENT,4.4545,4.7273,4.6364,4.4545,4.5
Nelson-Edward-ARCH-5336-001-ADV PRO PRAC II: PROG/SITE PLN,4,3.6667,4,4.1667,4
Nelson-Ellen-MAVS-1000-025-First Year Experience,3.6667,4,3.6667,3.8333,4
Nelson-Larry-KINE-3313-001-COACHING NET/WALL GAMES,4,3.8,3.8,4.2,4
Nelson-Larry-KINE-3313-002-COACHING NET/WALL GAMES,4.3333,4.3333,4.3333,4.3333,4.2
Nelson-Larry-KINE-4320-001-TEACHING SECONDARY PHYS EDUC,4.5455,4.6364,4.6364,4.6364,4.6364
Nelson-Larry-KINE-4320-002-TEACHING SECONDARY PHYS EDUC,4.5,4.5,4.5,4.5,4.5
Nerur-Sridhar-INSY-6392-001-SELECTED TOPICS IN INFO SYS,4.75,4.75,4.75,5,5
Nerur-Sridhar-OPMA-5364-001 & INSY-5373-001-INF SYS PROJECT MANAGEMENT,4.2692,4.3846,4.2692,4.1923,4.1538
Nestell-Merlynd-GEOL-3441-001-PALEONTOLOGY,5,5,4.875,5,5
Nestell-Merlynd-GEOL-4342-001 & GEOL-5342-001-MICROFOSSILS / SEDIMENTARY ROCKS,5,5,5,5,5
Nestell-Merlynd-MATH-3319-003-DIFF EQUATIONS/LINEAR ALGEBRA,4,4.3333,3.5,4.3333,3.6667
Newhart-Stephen-KINE-4329-001 & KINE-5329-001-STRENGTH & CONDITIONING,4.5476,4.6667,4.5476,4.475,4.5476
Newlin-Patricia-SOCW-6334-001-WOMEN AND FAMILY POLICY,3.375,2.875,3,3.625,3.75
Newton-Patricia-ART-1300-001-1ST YEAR ART SEMINAR,3.5,3.9167,3.25,3.9091,3.8333
Newton-Patricia-ART-3112-001-DIRECTED SCREENINGS 2,3.6667,3.6667,3.6667,3.3333,3.6667
Newton-Patricia-ART-4397-001-SPECIAL STUDIES FILM/VIDEO,3,2.8333,2.8333,3.3333,4.1667
Ng-Joanna-UNIV-1131-003-ISSUES IN COLLEGE ADJUSTMENT,5,5,5,4.75,5
Ngai-Joseph-PHYS-1444-001-GENERAL TECHNICAL PHYSICS II,4.3214,4.2857,3.7857,3.8214,4.3704
Nguyen-Kytai-BE-5372-004 & BE-3372-004-DRUG DELIVERY,3.6207,3.7931,3.4828,4.0345,3.8621
Nguyen-Kytai-BE-6395-004-INTERNSHIP IN BIOENGINEERING,3.5,3.5,3.5,3.5,3.5
Nicastro-Emily-ART-3343-001-PRINTMAKING,4.1111,3.6667,3.6667,4.3333,3.8889
Nichols-Erin-ANTH-4406-002-HUMAN OSTEOLOGY,4.5,4.5,4.375,4.75,4.75
Niestroy-Michael-EE-4314-001-CONTROL SYSTEMS,4.5,4.5,4.5,4.5,4.5
Niestroy-Michael-EE-4314-104-CONTROL SYSTEMS,5,5,5,5,5
Niestroy-Michael-EE-4314-105-CONTROL SYSTEMS,1,1,1,1,1
Nimmo-John-CHEM-3181-002-PHYSICAL CHEMISTRY I LAB,3.6667,3.6667,4.3333,3.3333,3.6667
Nisttahuz-Jaime-SPAN-3305-003-ADV SPANISH HERITAGE SPEAKERS,4.3333,4.1667,4.1667,4.3333,4.8333
Nomura-Seiichi-ME-5331-004-ANALYTIC METHODS ENGINEERING,4.3846,4.6538,4.3077,3.9231,4.4615
Nordtvedt-Liliana-MANA-4322-002-ORGANIZATIONAL STRATEGY,4.3571,4.5,4.0714,4.2857,4.5
Nordtvedt-Liliana-MANA-4322-003-ORGANIZATIONAL STRATEGY,4.25,4.4375,4,4.1875,4.4375
Norman-Susan-NURS-4351-001-BSN NURSING LEADERSHIP & MGMT,3.8205,3.7949,3.6316,3.8974,4.0513
Norman-Susan-NURS-4351-002-BSN NURSING LEADERSHIP & MGMT,4.1613,4.4516,4.0645,4.4194,4.5
Norouzi-Amir-CE-3142-001-APPLIED FLUID MECHANICS LAB,4.2,4.2,4.2,4,4.2
Norouzi-Amir-CE-3142-002-APPLIED FLUID MECHANICS LAB,4.75,4.75,4.75,4.75,4.625
North-Kenda-ART-4359-001-ADV PHOTOGRAPHY,4.7143,4.7143,4.7143,4.7143,4.8571
North-Kenda-ART-5359-001-RES PHOTO DIGITAL IMAGING,5,5,5,5,5
Nova-Seraphina-THEA-0181-005-THEATRE PRACTICUM,4.2857,4.2857,4,4.4286,4.1429
Nova-Seraphina-THEA-1343-003-INTRODUCTION TO THEATRE,3.5833,3.9167,3.75,4.3333,4.3333
Nova-Seraphina-THEA-3309-001-SCRIPT ANALYSIS,4.4,4.5,4.6,4.7,4.6
Nowacki-David-FINA-5315-050-HEALTH CARE FINANCIAL MANAGEME,4.75,5,5,5,5
Noyola-Joaquin-PHYS-1444-013-GENERAL TECHNICAL PHYSICS II,3.5,3.5,4,4,4
Nussbaum-Charles-PHIL-1301-001-FUNDAMENTALS OF REASONING,4.3333,4.6667,3.8333,4.1667,4.8333
Nussbaum-Charles-PHIL-1301-002-FUNDAMENTALS OF REASONING,4.3,4.5,4.5,4.1,4.6
Nussbaum-Charles-PHIL-2300-002-INTRO TO PHIL,3.9286,4.0714,3.2857,3.2143,3.3571
O'Dell-James-CSE-4316-001-COMPUTER SYSTEM DSGN PROJ I,4.8889,4.8889,4.6667,4.5556,4.6667
O'Dell-James-CSE-4316-002-COMPUTER SYSTEM DSGN PROJ I,4.5,4.5,4.4,4.3,4.6667
O'Dell-James-CSE-4317-001-COMPUTER SYS DESIGN PROJECT II,4.8,4.8,4.8,4.8,4.8
O'Dell-James-CSE-4317-002-COMPUTER SYS DESIGN PROJECT II,4.8,4.8,4.8,4.8,4.8
O'Dell-James-CSE-5344-002-COMPUTER NETWORKS,4.3333,4.4074,4.3704,4.0741,4.2963
Oden-Melissa-SOCW-5306-006-GENERALIST MACRO PRACTICE,3.5,4.1667,3.8333,4.5,4.8333
Odom-Richard-GEOL-5375-001-WELL LOGGING AND MAPPING,4,4.3333,4,4.5556,4.2222
Odom-Richard-GEOL-5375-011-WELL LOGGING AND MAPPING,4.375,4.375,4.5,4.5,4.375
Oduniyi-Latoya-MAVS-1000-051-First Year Experience,4.2727,4.3636,4.2727,4.2727,4.4545
Olson-Debra-ENGL-1301-008-RHETORIC AND COMPOSITION I,4.4286,4.4286,4.5714,4.4286,4.1667
Olson-Debra-ENGL-1301-016-RHETORIC AND COMPOSITION I,5,4.8333,5,4.8333,4.8333
Olson-Debra-ENGL-1301-027-RHETORIC AND COMPOSITION I,4.6364,4.4545,4.4545,4.7273,4.6364
Olson-Debra-ENGL-2303-013-TOPICS IN LIT,4.75,4.875,4.5,4.25,4.25
Olson-Debra-ENGL-2309-003-WORLD LIT,4.0556,4.1667,4.0556,3.8889,4.3333
Omana-Jennifer-SPAN-2314-006-INTERMEDIATE SPANISH II,4.5556,4.2222,4.5556,4.5556,4.2222
Omana-Jennifer-SPAN-2315-001-INTERM SPAN HERITAGE SPEAKERS,4.8,4.6,4.6,4.6,4.6
Omana-Jennifer-SPAN-3312-002 & MAS-3312-002-LATIN AM CULTURE/CIVILIZATION,4.3333,4.5833,4.5833,4.6667,4.6667
Omana-Jennifer-SPAN-3315-001-COMPOSITION THROUGH LITERATURE,4.75,4.375,4.875,4.875,4.875
Omgba-Bonaventure-FREN-3300-001-PHONOLOGY & PRONUNCIATION,2.75,2,2.75,3.75,4
Omgba-Bonaventure-FREN-3304-001-GRAMMAR AND COMPOSITION,3.1818,2.3636,2.8182,3.4545,3.4545
Omgba-Bonaventure-FREN-4334-001-CONTMPRY FRENCH CULTURE,2.7273,2.3636,2,2.8,3.5455
Omgba-Bonaventure-FREN-4338-001-TOP FRENCH LIT & HONR-LA-4303-001-ADVANCED SPECIAL TOPICS,4.5,4,4.5,4.5,4
Ortiz-Andrew-ART-3352-001-DIGITAL IMAGING,4.8,4.6,4.6,4.8,4.4
Ortiz-Andrew-ART-3352-002-DIGITAL IMAGING,3.5714,3.8571,3.4286,4,4
Ortiz-Catherine-SPAN-2313-132-INTERMEDIATE SPANISH I,5,5,5,5,5
Ortiz-Catherine-SPAN-2314-132-INTERMEDIATE SPANISH II,5,5,5,5,5
Ortiz-Catherine-SPAN-3314-001-ADVANCED SPANISH GRAMMAR,4.5714,4.5714,4.5714,4.4286,4.5714
Osen-Angela-GEOL-1302-003-EARTH HISTORY,4,4.0909,4,3.9,4.1818
Oyugi-Mercy-CHEM-1451-105-CHEMISTRY FOR HEALTH SCIENCES,3.6,3.9,3.3,3.6,3.7778
Oyugi-Mercy-CHEM-1451-107-CHEMISTRY FOR HEALTH SCIENCES,3.75,4.25,4,3.75,3.75
Ozbek-Orhan-MANA-4322-004-ORGANIZATIONAL STRATEGY,4.5294,4.5294,4.1765,4.5294,4.7059
Ozdil-Taner-LARC-5665-001-DESIGN STUDIO 5: URBAN LAND,4.1429,4.1429,4.1429,4.1429,4.1429
Ozuna-Taryn-EDAD-5380-001-DIVERSITY AND EQUITY,4.5714,4.5714,4.5714,4.5714,4.5714
Ozuna-Taryn-EDAD-5380-011-DIVERSITY AND EQUITY,4.377,4.3554,4.2562,4.3058,4.3362
Padorr-Black-Nancy-ENGL-2309-008-WORLD LIT,4.3913,4.3913,4.3478,4.3043,4.4348
Padorr-Black-Nancy-ENGL-2309-009-WORLD LIT,4.8125,4.875,4.75,4.6875,4.875
Painter-Kirstin-SOCW-5322-005-RESEARCH AND EVALUATION I,4.7778,4.6667,4.4444,4.5556,4.3333
Painter-Kirstin-SOCW-6324-005/010-RESEARCH AND EVALUATION II,3.7,4.1,3.1,4.4,4.5
Palacios-Philip-CHEM-1465-103-CHEMISTRY FOR ENGINEERS,4.5833,4.75,4.5833,4.4167,4.8333
Palacios-Philip-CHEM-1465-105-CHEMISTRY FOR ENGINEERS,4.6667,4.7333,4.5333,4.7857,4.6667
Palmeri-Nancy-ART-5000-001-SUPERVISED TEACHING STUDIO ART,5,5,5,5,5
Pang-Shing-SOCW-3306-003-SW PRACTIC III,4.4286,4.7143,4.4286,4.7143,4.8571
Pang-Shing-SOCW-3306-004-SW PRACTIC III,4.2222,4.4444,4.3333,4.2222,4.4444
Pant-Mohan-EDUC-5395-001-DESIGNING CLASSROOM RESEARCH,3.7778,4,3.4444,3.6667,4.3889
Pant-Mohan-EDUC-5395-005-DESIGNING CLASSROOM RESEARCH,3.9,4,4.1,4,4
Pant-Mohan-EDUC-5397-105-IMPLMNT/DISEMINAT CLSRM RSRCH,4.6471,4.6471,4.4706,4.4118,4.6471
Parajon-James-CIRP-5305-001-LAND USE MGMT & DEVELOPMENT,4.8571,4.8571,4.8571,4.8571,4.7143
Parihar-Manish-BIOL-1441-043-CELL MOL BIOL,3.4286,4.2857,4,3.2857,3.8571
Parihar-Manish-BIOL-1441-045-CELL MOL BIOL,3.25,4,3.25,3.5,3.75
Parihar-Manish-BIOL-1441-059-CELL MOL BIOL,4,3.6667,4,3.3333,4
Parihar-Manish-BIOL-1441-060-CELL MOL BIOL,2.5,3.625,2.75,3.125,3.5
Park-Anna-PSYC-5405-002-ADVANCED STATISTICS I,4.8,4.8,4.8,4.8,4.8
Park-Heekyeong-PSYC-5345-001-HUMAN LEARNING AND MEMORY,4.8182,4.9091,4.3636,4.8182,4.8182
Park-Sangwook-PHYS-3315-001-ASTROPHYSICS AND COSMOLOGY,4.8333,4.9167,4.6667,4.25,4.5
Park-Yeonho-CE-4324-001 & CE-5315-001 / 002-ADVANCED MECHANICS OF MATERIAL,4.2963,4.3333,4.2593,3.9259,4.2593
Park-Yeonho-CE-4348-001 & CE-5306-001 / 002-STRUCTURAL STEEL DESIGN,4.2174,4.4783,3.8696,4.0435,4.3478
Parker Ryan-Sally-PHIL-1310-001-PHIL PERSPECTV,3.8,4,4,4.2,4.4
Parker Ryan-Sally-PHIL-2314-001-PERSPECTIVES ON SCIENCE & MATH,4,3.9167,4.0833,3.8333,4.25
Parker-Patti-NURS-5451-001-ADULT/GERONTOLOGY NURSING I,5,5,5,5,5
Parker-Patti-NURS-5631-011-ADV CLINICAL NURSING PRACTICUM,4.75,5,4.75,5,5
Parks-Dylan-BIOL-2458-002-HUMAN ANATOMY & PHYSIOLOGY II,4.6667,4.6667,4.7778,4.6667,4.6667
Parks-Dylan-BIOL-2458-009-HUMAN ANATOMY & PHYSIOLOGY II,4.8889,4.8889,4.8889,4.8889,4.8889
Parpia-Curran-CHEM-1465-110-CHEMISTRY FOR ENGINEERS,3.8824,4.1765,4.1176,4.1765,3.7059
Parpia-Curran-CHEM-1465-116-CHEMISTRY FOR ENGINEERS,4.1538,4.3077,4.3077,4.3077,4.0769
Pasichnyk-Paul-BIOL-3452-002-COMPARATIVE VERTEBRATE ANATOMY,5,5,5,5,5
Pasichnyk-Paul-BIOL-3452-003-COMPARATIVE VERTEBRATE ANATOMY,4.6667,4.6667,4.6667,4.6667,4.6667
Passy-Sophia-BIOL-1441-005-CELL MOL BIOL,3.434,4.1346,3.0566,3.5283,3.8868
Patel-Darshankumar-CHEM-1441-101-GENERAL CHEMISTRY I,4.5,4.4,4,4.5,4.5556
Patel-Darshankumar-CHEM-1441-115-GENERAL CHEMISTRY I,4.6364,4.6364,4.7273,4.4545,4.6364
Patrick-Vicki-NURS-5313-001-CLINICAL PROCEDURES AP NURSES,4.65,4.65,4.6,4.6,4.55
Patrick-Vicki-NURS-5314-001-INVASIVE PROCEDURES FOR APN,4.4,4.5,4.5,4.5,4.3333
Paustian-Neal-ART-1300-003-1ST YEAR ART SEMINAR,3.8571,3.8571,3.375,4.125,4
Paustian-Neal-ART-3342-001-INTERMEDIATE GLASSBLOWING,4.8182,4.7273,4.6364,4.9091,4.7273
Pearman-Dianne-ENGL-1302-036-RHETORIC AND COMPOSITION II,4.625,4.625,4.5,4.625,4.625
Pearman-Dianne-ENGL-2338-500-TECHNICAL WRITING,4.3945,4.3853,4.3486,4.2897,4.2202
Pearman-Dianne-ENGL-2338-502-TECHNICAL WRITING,4.5326,4.5275,4.5165,4.4674,4.4505
Pearman-Dianne-ENGL-2338-504-TECHNICAL WRITING,4.3846,4.4103,4.2308,4.2564,4.2025
Pecore-Michael-CHEM-1465-108-CHEMISTRY FOR ENGINEERS,4.8,5,4.9,4.6,4.8
Pecore-Michael-CHEM-1465-109-CHEMISTRY FOR ENGINEERS,4.75,4.625,4.625,4.375,4.125
Pedarla-Aravind-CE-3143-001-SOIL MECHANICS LAB,4.625,4.625,4.625,4.625,4.5
Pedarla-Aravind-CE-3143-002-SOIL MECHANICS LAB,4.8889,4.8889,4.8889,4.7778,4.7778
Pellosmaa-Hollie-PSYC-5405-002-ADVANCED STATISTICS I,4.5,4.6,4.2222,4.5,4.5
Peng-Yuan-PSYC-5334-001-HUMAN PHYSIOLOGY,4.5714,4.5,4.4286,4.1429,4.5714
Peng-Yuan-PSYC-6101-001-PROSEMINAR HEALTH PSYCHOLOGY,3.9,4.4,4.3,4.4,4.5
Pennington-Colin-KINE-1400-004-INTRO TO EXERCISE SCIENCE,4.4286,4.4286,4.4286,4.2857,4.2857
Pennington-Colin-KINE-1400-006-INTRO TO EXERCISE SCIENCE,4.75,4.75,4.75,4.75,4.6667
Pennington-Colin-KINE-1400-013-INTRO TO EXERCISE SCIENCE,4.6667,4.8333,4.8333,4.6667,4.8333
Pennington-Colin-KINE-4647-001-ALL-LEVEL TEACHER PREPARATION STUDENT TEACHING FOR PHYSICAL EDUCATION,3,3,3,3,3
Pennington-Michelle-ART-2342-001-GLASSBLOWING,4.6667,5,4.6667,4.6667,5
Pequeno-Griffin-Loretta-EDAD-4330-001-CAPSTONE IN LEADERSHIP STUDIES,5,5,5,5,5
Perez Melian-Maria-CTEC-2300-003-INTERNET COMMUNICATION,4,3,3.1667,4,3.6667
Perrotti-Linda-PSYC-3322-001 & BIOL-3322-001-BRAIN AND BEHAVIOR,4.0233,4.093,4,3.9767,4.1163
Perry-John-MAVS-1000-093-First Year Experience,4.7692,4.7692,4.8462,4.6154,4.6154
Perryman-Derrelynn-SOCW-6361-008-STRESS CRISIS AND COPING,4.1667,4.6667,4.5,4.8333,4.8333
Persaud-Eknauth-CSE-5320-001-SPEC TOPS SOFTWARE ENGR,4.05,3.8,3.6,4.15,4.1
Peterson-Lynn-ENGR-2100-001-SPRVSD ENGR WORK EXPERIENCE,3,3,3,3,3
Peterson-Lynn-ENGR-3000-001-SPRVSD ENGR WORK EXPERIENCE,5,5,5,5,5
Pfeiffer-Marius-SCIE-3305-001-ENVIRONMENTAL SYSTEMS,3.9,4.5,3.6,4,4.1
